created_at,text
2021-12-03 6:15:49,#Lakers could have acquired DeMar DeRozan and kept Alex Caruso. Since DeRozan really wanted to play for the @Lakers
2021-12-03 6:14:02,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 6:13:58,"""Lakers could trade young players to get stars this offseason, but there is a strong …""

https://t.co/oVs2rRXA7N

[… https://t.co/DYvelYpucg"
2021-12-03 6:03:26,Its time for the Lakers Start a 10 winning Streak Run... #Lakers #lakernation
2021-12-03 5:58:42,RT @PDChinaSports: LeBron James has been cleared to return to the Los Angeles @Lakers after a brief stint in the #NBA's health and safety p…
2021-12-03 5:50:53,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:50:21,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:50:07,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:49:08,"Rare Artwork Emerges From the Covid Pandemic to a Blue-Chip Auction House https://t.co/WzSjEAm8Ji 
#KobeBryant… https://t.co/8Y6GXjy1jR"
2021-12-03 5:48:00,LeBron James has been cleared to return to the Los Angeles @Lakers after a brief stint in the #NBA's health and saf… https://t.co/p6kSMokvr4
2021-12-03 5:47:39,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:46:42,"""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://t.co/YLsotRAVhi"
2021-12-03 5:42:05,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 5:41:09,"RT @cookyat: Hi Lakers fan in LA!
I cannot make it happen this time at 3rd Dec. for this top game.
So I will DONATE my ticket in sec. 107,…"
2021-12-03 5:35:56,Sooooo @KingJames 👀 What happened to the Hype... #Damn #Lakers @Lakers https://t.co/sKaywIn5ON
2021-12-03 5:34:35,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 5:19:48,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 5:14:01,"RT @swick842: https://t.co/7llZ91dNXz  WEIGHTLOSS super smoothie diet.

#weightlossjourney #Succession #RaiderNation #RHOP #InsecureHBO htt…"
2021-12-03 5:13:27,"@ChrisRyMac For the record, this is my shit! #Lakers https://t.co/cfseImKyiY"
2021-12-03 5:12:33,"""[Mike Trudell] Larry Nance, Jr. banged knees at the end of the game and suffered a right …""… https://t.co/zCNI10JFG0"
2021-12-03 5:12:26,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 5:02:52,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 5:02:39,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 5:00:35,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 4:59:07,.@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 4:51:57,"Discover and Share your #Best #sports content
Download the Best #app ==&gt; https://t.co/d9gQTtSJkW 
#lakers #nba… https://t.co/abcr3a3mqI"
2021-12-03 4:51:57,"Discover and Share your #Best #sports content
Download the Best #app ==&gt; https://t.co/d9gQTtSJkW 
#lakers #nba… https://t.co/3UMCLYOM70"
2021-12-03 4:51:56,"What's #Best today on https://t.co/wNwLoFi3qW ?
Top Plays Of The Week (november 22 - 28)
https://t.co/3r9oOCklfp… https://t.co/eVQOAfRgnc"
2021-12-03 4:51:44,"Download the Best #app to share your #Best #sports content
==&gt; https://t.co/wIy9Y1KHKh &lt;== 
#lakers #nba… https://t.co/B4Xx64ovDv"
2021-12-03 4:51:43,"#Best of the day on https://t.co/mk8w5UtFhL
Top Plays Of The Week (november 22 - 28)
https://t.co/wPPNbBhP4M… https://t.co/yGqUi0MYMM"
2021-12-03 4:51:33,"What's #Best today on https://t.co/NQOcMymrqQ ?
Top Plays Of The Week (november 22 - 28)
https://t.co/9XcKVMjllM… https://t.co/jtAF59Ygtp"
2021-12-03 4:49:20,"“When you’re authentic to who you are, everything else will fall in place.” 
— @russwest44 
Cannot wait to see you in a week! #Lakers"
2021-12-03 4:38:23,#Lakers DJ for Thad Young who says no https://t.co/ClGXLoy7FX
2021-12-03 4:28:33,"RT @JamesWorthy42: Thx to @Ballislife for putting this together 
 
@RooshWilliams @Zaknoble 
#lakers #showtime #nba #lakeshow #lakersnation…"
2021-12-03 4:18:44,"(the Lakers will now only air on ESPN Past Prime™️)
https://t.co/2w7zYIVWB3 #Lakers"
2021-12-03 4:16:31,"RT @Ben_ESPN: 🏀@ESPNNBA schedule update:

🆚ESPN has added the #Suns vs #Warriors game to its Dec. 3 slate, starting at 10P ET. This replace…"
2021-12-03 4:15:40,"#LAKERS LeBron James tests negative for COVID, clears NBA health protocol https://t.co/L8SMbV5hXF"
2021-12-03 4:14:59,My boys and I talk all things #NBA. #Warriors #Lakers #Suns #Hawks….etc https://t.co/6poND04mTv
2021-12-03 4:12:58,"Great news for the Lakers Fans, LAbron is back! 🔥 #cgebetnews #cgebet #sports #nba #basketball #lebron #lakers https://t.co/EPnt726lcO"
2021-12-03 4:09:12,RT @namaha_official: Thy One Hundred Trillion Dollar$ Question Answered (Sanskrit is NAMAHA NAME is English NAAM is Hindi) https://t.co/twb…
2021-12-03 4:06:13,RT @Big_R__: She said the streets ain’t loyal what if another drought come I told her I’m stacked like the #Lakers in 01‼️
2021-12-03 4:04:02,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 4:02:35,#NBA Rumors: Re-Grades For #Lakers-#Wizards Russell Westbrook Trade https://t.co/NVINd4sOel
2021-12-03 4:02:10,@Lakers #Lakers lost to OKC. 𝗧𝗪𝗜𝗖𝗘. 🤣😳
2021-12-03 4:01:09,One of the many things I miss about Alex Caruso #Lakers https://t.co/vNUePlvVgH
2021-12-03 3:58:51,"Bron had Covid for 2 days. 😂😂😂
Something's fishy. 🐟🐠🐡
#Lakers
#NBA
#NBATwitter"
2021-12-03 3:55:54,@RealSkipBayless RT #NFL #NBA @NBAonTNT #RollTide #Lakers @GeorgiaFootball @CowboyFB Saving pollard for playoff run… https://t.co/KWGpMr21Th
2021-12-03 3:49:54,RT @LyleSpencer18: Out of nowhere #Knicks Frazier brings up “Westbrook having trouble fitting in with Lakers” while talking about #Bulls De…
2021-12-03 3:49:51,"RT @nbastatsmachine: No. 

Lebron James finished with 23 points, 6 rebounds, and 2 assists in his 1584th career game. 

He has yet to finis…"
2021-12-03 3:47:10,"World Ignores China’s Massive Organ Harvesting Operation –Mitch Gerber 
#nba #lakers #nfl #healthcare #nurse… https://t.co/J5S7yLNkFc"
2021-12-03 3:38:21,@davidaldridgedc The #Lakers should actually be embarrassed. They lost to this team twice and yet Memphis annihilates them
2021-12-03 3:36:45,I sold a Kobe Bryant Los Angeles Lakers Watercolor Brush Pixel Art T Shirt https://t.co/kK30jDeTPp #lakers… https://t.co/heCsxDRqfJ
2021-12-03 3:33:50,RT @PRAISETRIUNEGOD: Do you think #Lakers #LeBronJames should have been suspended for MORE than one game for punching Isaiah Stewart ?
2021-12-03 3:30:00,"Quick reminder that the Lakers continue to disrespect George Mikan by not retiring his number, but still claim his… https://t.co/xurmjL7Uyf"
2021-12-03 3:22:37,"Manny Harris +\- of -57 took place on January 11th, 2011 in the #Lakers victory over the #Cavs by the score of 112-… https://t.co/JHjinPKgsp"
2021-12-03 3:19:41,We better beat them boys by 100 next week to make up for the 2 wins we gave them. 😡😡😡 #Lakers https://t.co/tc9EnxO1Qe
2021-12-03 3:19:27,RT @JDreherLN: They ONLY get up for the #Lakers . I hope the Lakers take that personal going forward
2021-12-03 3:18:12,They ONLY get up for the #Lakers . I hope the Lakers take that personal going forward https://t.co/IHVPMUa4TH
2021-12-03 3:16:02,RT @JDreherLN: They only get up for the #Lakers - the @lakers have to take it personally
2021-12-03 3:15:34,They only get up for the #Lakers - the @lakers have to take it personally https://t.co/U4QrkAGlPo
2021-12-03 3:14:21,"RT @SportsCollector: Notes: Collector's #Leafs Lair; @milehighcard Auction Extension; @nsccshow Tix; Westbrook's 1st #Lakers Jersey, #Krake…"
2021-12-03 3:14:17,"@JeanieBuss Love you Queen 👑 #JeanieBuss !!!

Thank you &amp; Linda for all you do for the organization &amp; players ❤️❤️… https://t.co/YVKg7RVLAU"
2021-12-03 3:13:56,So the #Lakers lost not once but twice to the team who just lost 152-79 to the grizzlies without Ja Morant https://t.co/aqF8UFCUFL
2021-12-03 3:12:29,"RT @English_AS: The King is back! 🔥🏀

#nba #lebronjames #lakers https://t.co/8bdwGIHlzL"
2021-12-03 3:12:22,"@danbickley My #Lakers blow ass, #Clippers aren’t much better. If I’m #ESPN and want a shot at a decent rating I do… https://t.co/RKTGugA2yP"
2021-12-03 3:12:22,"Notes: Collector's #Leafs Lair; @milehighcard Auction Extension; @nsccshow Tix; Westbrook's 1st #Lakers Jersey,… https://t.co/W3AQ1pK262"
2021-12-03 3:12:11,"Wow #Lakeshow lost twice to a team in #ThunderUp who just lost by 73 points. Unreal. Hey #Grizzlies, send #Lakers t… https://t.co/7igLFfPzot"
2021-12-03 3:10:45,"RT @Basketball_SK: LeBron James has been cleared from health and safety protocols and will be available for game against the Clippers, afte…"
2021-12-03 3:07:39,"How did they beat us twice ? 
#LakeShow #lakers #lebron #Grizzlies #nba @LakeShowYo @LakersNation @LADEig… https://t.co/Enaoxt0tvo"
2021-12-03 3:07:31,Once again. Thank you #Lakers for letting Alex Caruso come to us #Bullsnation https://t.co/QaN4QAHrWb
2021-12-03 3:06:40,"LeBron James has been cleared from health and safety protocols and will be available for game against the Clippers,… https://t.co/mmJPjMsqcn"
2021-12-03 3:00:02,Get your daily dose of #Lakers news with 'Access SportsNet' starting NOW. https://t.co/WFYIQKkdOw
2021-12-03 2:59:55,@LASEC @MagicJohnson @cryptocomarena @JeanieBuss @Lakers OMGGGGGGG Y’all got Queen 👑 #JeanieBuss &amp; #MagicJohnson ?!… https://t.co/em2UNqwVVq
2021-12-03 2:56:16,"RT @LACourtsidePod: E79 - ""I GOT $5 ON IT!! #Lakers vs. #Clippers preview on @LACourtsidePod. @jay_pea619 @DaRealParis @Kristina_Pink @KamB…"
2021-12-03 2:55:40,RT @JamesLefortnite: @ShamsCharania LeBron beating the covid diagnosis and cleared to play Friday against the Los Angeles clippers like…. #…
2021-12-03 2:49:37,@alei198634 @MatSir4 @ApeKidsClub #Lakers Leborn fans?
2021-12-03 2:41:07,"RT @LACourtsidePod: E79 - ""I GOT $5 ON IT!! #Lakers vs. #Clippers preview on @LACourtsidePod. @jay_pea619 @DaRealParis @Kristina_Pink @KamB…"
2021-12-03 2:38:05,"E79 - ""I GOT $5 ON IT!! #Lakers vs. #Clippers preview on @LACourtsidePod. @jay_pea619 @DaRealParis @Kristina_Pink… https://t.co/X7HqgwmeG1"
2021-12-03 2:32:19,"In Game 18 of the 2021-2022 #NewYork #Knicks #NationalBasketballAssociation Season, played on #November 23, 2021, T… https://t.co/d7Mij8QRcs"
2021-12-03 2:29:28,Caruso looking like John Stockton tonight. Rob Pelinka what were you think man #Knicks #Bulls #Lakers
2021-12-03 2:29:28,"ICYMI: New NBA City Edition Pops Coming Soon!
🔗 https://t.co/M6ODJkgisr
-
-
#Funko #FunkoPop #FunkoPopNews #FPN… https://t.co/rnYmVE4BbQ"
2021-12-03 2:25:22,"Sunset for #lakersnation 
@ESPN will now broadcast the #Warriors- #Suns game instead of the #Lakers-#Clippers game… https://t.co/VxypGaojoe"
2021-12-03 2:23:09,What do we think the ballpark # was for LeBron to buy two negative covid test (and the league could've provided the… https://t.co/EutFLGvWlb
2021-12-03 2:19:12,Out of nowhere #Knicks Frazier brings up “Westbrook having trouble fitting in with Lakers” while talking about… https://t.co/IaVEjhZZzp
2021-12-03 2:14:08,"How in the world are we 6th in the West?

I’ll take it!

#LakeShow 
#lakers
@Lakers"
2021-12-03 2:11:20,RT @DrRobertKlapper: #Lakers. Thankful for all the Years #Kobe https://t.co/Y2b61bdrJ3
2021-12-03 2:10:57,LeBron James is cleared to play after a false positive Covid test. #Lakers
2021-12-03 2:10:04,"RT @BomberBreaks: Holy Kaboooom! 🤯🤯
LeBron James 1/1 Super Stars Gold Vinyl Die-Cut Insert pulled from our @paniniamerica Contenders Optic…"
2021-12-03 2:09:52,Horton-Tucker is the most likely #Lakers player to be traded by the NBA trade deadline. @Lakers
2021-12-03 2:06:28,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
